Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.02327869387075379,-0.1331314087610099,-0.1132611160648196
100.9252886076684,-0.02435714305031745,-0.1323771843480579,-0.1143792233649776
101.8591388054117,-0.02357243034346537,-0.1320605488408732,-0.1087943634426551
102.8016298126473,-0.02378710994424454,-0.1314103918254235,-0.116648396756851
103.7528415818013,-0.02417187915918857,-0.1327328341469966,-0.1091542024793455
104.71285480509,-0.02277305743242391,-0.133249964615883,-0.11577078149773
105.6817509213658,-0.02398853484329045,-0.1323968365992756,-0.1186446351229211
106.6596121230258,-0.02377736561473802,-0.132557223785173,-0.1131282915026617
107.6465213629835,-0.02403361346913973,-0.1319862122591469,-0.1105977590869927
108.6425623617066,-0.02326170949008865,-0.1308175103980114,-0.1107701227767564
109.6478196143185,-0.02348794309493885,-0.1325775946408738,-0.1084106764277735
110.6623783977666,-0.02323126137994597,-0.1320574152285867,-0.1176972852517935
111.6863247780561,-0.02379981210382816,-0.1304236528510304,-0.1164140911650122
112.719745617551,-0.02413862258509946,-0.1312597692092938,-0.1216744672190657
113.7627285823431,-0.02365985293910555,-0.1331294984418369,-0.1147457318454315
114.8153621496883,-0.02412133925935414,-0.1326523651606899,-0.1129535887552606
115.8777356155126,-0.02434853413305657,-0.1313511593527801,-0.1179368295937326
116.9499391019871,-0.02398864768614881,-0.1316223476497726,-0.1132426026305922
118.032063565173,-0.02329153198706746,-0.1319673779205907,-0.1185402198166088
119.1242008027375,-0.02390805991084392,-0.1321041713784769,-0.1135714141653921
120.2264434617413,-0.02387732464029308,-0.1313706630275857,-0.119054900135211
121.3388850464977,-0.02453918831854832,-0.1309334478136723,-0.1259038772554959
122.4616199265049,-0.02368004123304449,-0.13209478234099,-0.1120013248759406
123.5947433444511,-0.02400391634136315,-0.1323089954300602,-0.1132290573176604
124.7383514242943,-0.02385459000409071,-0.1322598519709627,-0.1216261387613855
125.8925411794167,-0.02449431037241109,-0.1320209088729926,-0.1210201841758476
127.0574105208542,-0.02314285216200822,-0.1325696970794445,-0.121786918071507
128.2330582656022,-0.02261522368306308,-0.1324543504974534,-0.1247664918662394
129.4195841449986,-0.02379460827994485,-0.1329843458232897,-0.1155174926873173
130.6170888131842,-0.02360269197355901,-0.1327500284917167,-0.1267570301872354
131.8256738556407,-0.023881469175449,-0.1316436848391702,-0.1138807349718292
133.0454417978092,-0.02365861788140532,-0.1324217502605032,-0.119901250570372
134.2764961137864,-0.02401905166273009,-0.131968151729231,-0.1118209898747295
135.5189412351036,-0.02364405560634747,-0.132598819089595,-0.1212770516147543
136.7728825595849,-0.02345822734331885,-0.1322538224344307,-0.1150283145152002
138.0384264602885,-0.02429093622247966,-0.1325599853608923,-0.1169899255346252
139.3156802945304,-0.02407533378349657,-0.1333555950125315,-0.1266430845842574
140.6047524129914,-0.02375478104751364,-0.132714788367659,-0.1231625463802004
141.9057521689093,-0.02448574459144923,-0.132880704186081,-0.1206169405342479
143.2187899273544,-0.02413986049271899,-0.1337408241371362,-0.1233803814914722
144.5439770745928,-0.02372217189004195,-0.1324840910650261,-0.1263369088580859
145.8814260275349,-0.02409612234062246,-0.1334911393262094,-0.1189590954320323
147.2312502432719,-0.02483881335220687,-0.1327469152558178,-0.1137339176304266
148.5935642287007,-0.02379623582315615,-0.1333157809236241,-0.119002920867544
149.9684835502374,-0.02354563206972236,-0.1335347282813318,-0.1280852046233507
151.3561248436209,-0.02377223814577249,-0.1338422188484074,-0.1331505179801979
152.7566058238073,-0.02317284971211006,-0.1339763388059464,-0.1229924849850192
154.170045294956,-0.02282297359848471,-0.1337507804364285,-0.1328777107484029
155.5965631605075,-0.02394018689518908,-0.1322668784725522,-0.1273333694665979
157.0362804333553,-0.02362878152627602,-0.1332955310338853,-0.1291082331046596
158.4893192461114,-0.02419235516783785,-0.1341909403205016,-0.124521142381127
159.955802861467,-0.0227842948392345,-0.1334195133310466,-0.1264308246838226
161.4358556826487,-0.02362109199163496,-0.1334118177861579,-0.1358879763131142
162.9296032639723,-0.02331813921834319,-0.135250973609246,-0.1315412884744518
164.4371723214932,-0.02385025846447269,-0.133441816783942,-0.1339520494408362
165.9586907437562,-0.02314312127342259,-0.1350375395066443,-0.126684892865967
167.4942876026438,-0.02337372768875903,-0.1330390230605242,-0.1287400951070055
169.0440931643265,-0.02457752081432635,-0.1346444613940271,-0.1316408342031039
170.6082389003124,-0.02465782116923805,-0.1349617872014846,-0.1298699230786724
172.1868574986006,-0.02433059051655739,-0.1352122742371963,-0.1394503486582828
173.7800828749376,-0.02308544732522362,-0.1360321467605992,-0.1369409228733218
175.388050184176,-0.02470515697795993,-0.1346190591380307,-0.1336422244231628
177.0108958317422,-0.02525874009442991,-0.134878640472776,-0.1357616952432181
178.648757485205,-0.02477920701894464,-0.134894643014829,-0.143691597649628
180.301774085957,-0.02449646878036205,-0.1346513271450027,-0.1238294802631401
181.9700858609983,-0.02436887706375171,-0.1346091839163699,-0.1366661918238492
183.6538343348347,-0.02334042435994769,-0.1360504590109435,-0.1455541051126659
185.353162341481,-0.02419780060003355,-0.134474527257123,-0.1333906563951786
187.0682140365801,-0.02354732208819143,-0.1358773786210651,-0.1350140155781849
188.7991349096293,-0.02374823814670657,-0.1362844111897306,-0.1369204615151318
190.5460717963248,-0.02331425576398546,-0.13562694514434,-0.1360037043091609
192.3091728910157,-0.02333533566408949,-0.1355434042434339,-0.1384511290583532
194.0885877592777,-0.02539401857999627,-0.135041379316881,-0.1362938810825653
195.8844673505989,-0.02487732205265832,-0.1341355000501256,-0.1379104477430246
197.696964011186,-0.02343298676033385,-0.1354614458190166,-0.1332932825712874
199.5262314968879,-0.02313257520755255,-0.1359701445904363,-0.1422822782226376
201.3724249862388,-0.02396035536112012,-0.1358124599093385,-0.1430826300826595
203.2357010936221,-0.02396392970241779,-0.1358554342483049,-0.1379931795297296
205.1162178825565,-0.02385482575216386,-0.1360903309472072,-0.143373503991846
207.0141348791041,-0.02412461477857884,-0.1363078473569822,-0.1495261690067196
208.9296130854039,-0.02251448695207124,-0.1363981135333478,-0.1355542169279573
210.8628149933289,-0.02197076403170934,-0.1370827805855384,-0.1433858311232683
212.8139045982711,-0.02375800808203661,-0.1364100791347224,-0.1471673890395095
214.7830474130533,-0.02232668945981252,-0.1359797995357134,-0.1492932362240822
216.7704104819694,-0.02483032024898343,-0.1349063230180933,-0.1488935514342415
218.7761623949552,-0.02340641660894673,-0.1368054763986975,-0.1432080724770088
220.8004733018899,-0.02375607997407858,-0.1379869749143217,-0.1451711792394406
222.8435149270303,-0.02373602783124818,-0.13662631159192,-0.1439771107410905
224.905460583578,-0.02300877978256058,-0.1365995760296685,-0.1554635583823725
226.9864851883821,-0.02375813684913361,-0.1361811725715524,-0.1448078241743502
