Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.02404579417368012,-11.25109234828291,-41.87431264393797
100.9252886076684,-0.023874950737311,-11.29390453385194,-41.89772368035504
101.8591388054117,-0.02380007438258827,-11.33608854283052,-41.94154669365133
102.8016298126473,-0.02390548088124644,-11.36977840594487,-41.95604279984236
103.7528415818013,-0.02459782132028721,-11.41014306202504,-41.98468004443899
104.71285480509,-0.0244448966772541,-11.45256031435513,-42.02912364187369
105.6817509213658,-0.02346070002140822,-11.49136335882111,-42.0650530066077
106.6596121230258,-0.02478489992288777,-11.53114905081911,-42.07740438632292
107.6465213629835,-0.02370580358979908,-11.57283099842192,-42.09760865362404
108.6425623617066,-0.02347158139331252,-11.60987412467847,-42.13875386924963
109.6478196143185,-0.02435392089599498,-11.64917800042215,-42.16853954160105
110.6623783977666,-0.02472742711200585,-11.69094519000893,-42.20975167008081
111.6863247780561,-0.02465769292865245,-11.72891342412352,-42.21235148891644
112.719745617551,-0.02460968936418402,-11.76683143363843,-42.26879494071189
113.7627285823431,-0.0246912245407209,-11.80826994092541,-42.26878493883589
114.8153621496883,-0.02335159587144585,-11.85120957417868,-42.31174609244602
115.8777356155126,-0.02428229314581105,-11.88672283220261,-42.33021214775599
116.9499391019871,-0.02452792079920862,-11.93061751129493,-42.33693230969172
118.032063565173,-0.02527294177008954,-11.96697751262848,-42.36938737334953
119.1242008027375,-0.02348720544619749,-12.00888564744357,-42.38480350649552
120.2264434617413,-0.02359164135957821,-12.04945991196503,-42.43778374135461
121.3388850464977,-0.02257205293630202,-12.08937895939901,-42.44184995602785
122.4616199265049,-0.02366454607620275,-12.12995313684639,-42.48268603292547
123.5947433444511,-0.0237406057292135,-12.17015174811943,-42.51190691523305
124.7383514242943,-0.02405819549144609,-12.21488737403515,-42.51465190569091
125.8925411794167,-0.02344484585732862,-12.25426370015363,-42.53299336132942
127.0574105208542,-0.02391290103006955,-12.29271205088319,-42.57441042123255
128.2330582656022,-0.02437350967897272,-12.33555917119175,-42.57188705503087
129.4195841449986,-0.02440432167973144,-12.37564561847885,-42.61966946475158
130.6170888131842,-0.02435101109686195,-12.41315593306304,-42.6319364047731
131.8256738556407,-0.02474143573176183,-12.45456828990633,-42.65140635174653
133.0454417978092,-0.02492603204674055,-12.49806146233986,-42.67302279157539
134.2764961137864,-0.02405688504738597,-12.53620717185684,-42.67267685843107
135.5189412351036,-0.02469713371333941,-12.57438727415746,-42.69562036532511
136.7728825595849,-0.02290673807044983,-12.61824475005311,-42.72231280143575
138.0384264602885,-0.02442102908042377,-12.66010113909787,-42.73324213578255
139.3156802945304,-0.02456521156246389,-12.69718347657278,-42.77134329890798
140.6047524129914,-0.02354076959129779,-12.73979256615044,-42.76014720307808
141.9057521689093,-0.02511806159743915,-12.77942158265708,-42.78798738080545
143.2187899273544,-0.02570175402986833,-12.81971728610653,-42.79685891456027
144.5439770745928,-0.02578319897184169,-12.86383713750203,-42.80716980548824
145.8814260275349,-0.023889426725646,-12.89986590755863,-42.84496973062096
147.2312502432719,-0.02492753587168045,-12.94371160687573,-42.86664749063941
148.5935642287007,-0.02360854919524791,-12.98506852876817,-42.86831298322369
149.9684835502374,-0.02397800094419625,-13.02768041256186,-42.84763308176652
151.3561248436209,-0.02462078373766288,-13.06940429176866,-42.91135998754413
152.7566058238073,-0.02426614710865557,-13.11217829236788,-42.91709932025739
154.170045294956,-0.02413561963737579,-13.15138491460955,-42.93151384725942
155.5965631605075,-0.02386480532075019,-13.19127032829834,-42.95752702190181
157.0362804333553,-0.02444101917523619,-13.22940010798855,-42.97329969009253
158.4893192461114,-0.02491086655014752,-13.27370245883958,-42.97865346566681
159.955802861467,-0.02366873914846622,-13.31645964847876,-42.99043121887455
161.4358556826487,-0.02387727764527602,-13.35651986224474,-43.02286307358462
162.9296032639723,-0.02417664100032308,-13.40048372987777,-43.0325394806148
164.4371723214932,-0.02387299554133009,-13.43306105960476,-43.0104567700306
165.9586907437562,-0.02385440485755705,-13.47219773784761,-43.0440518854489
167.4942876026438,-0.02344335496990796,-13.51973432243926,-43.05042546569556
169.0440931643265,-0.02362173605381172,-13.5586954999909,-43.06928345565567
170.6082389003124,-0.02304465822342814,-13.60006901337448,-43.07929403633115
172.1868574986006,-0.02482482715697117,-13.64659496838218,-43.10981768904529
173.7800828749376,-0.02368442192022464,-13.68300202666402,-43.12801452806269
175.388050184176,-0.02481523420600243,-13.72439467998059,-43.10719880187142
177.0108958317422,-0.02529164991620992,-13.76773323318428,-43.13535085323555
178.648757485205,-0.02309484266209413,-13.8055611537691,-43.143567378011
180.301774085957,-0.02327898159699247,-13.84627336890267,-43.15704541650572
181.9700858609983,-0.02387111357299973,-13.8912412894609,-43.14566655988946
183.6538343348347,-0.02282077354821528,-13.93201822999731,-43.17914355292223
185.353162341481,-0.02299373635682677,-13.96967747300679,-43.1679583991519
187.0682140365801,-0.02457818490257064,-14.01316535093553,-43.17731144037509
188.7991349096293,-0.02446807554080551,-14.05202585885103,-43.22157709641773
190.5460717963248,-0.02420398571914915,-14.09607734039026,-43.18133606875223
192.3091728910157,-0.02444360373068773,-14.13670682787171,-43.20390412273006
194.0885877592777,-0.02310273589351902,-14.17938592179735,-43.20423900432853
195.8844673505989,-0.02403461328168982,-14.21809622103581,-43.20905572474173
197.696964011186,-0.02386407205591806,-14.26086545813352,-43.24101376278092
199.5262314968879,-0.02457480674841384,-14.3011139002505,-43.23413532384393
201.3724249862388,-0.02357318567913158,-14.34185425087462,-43.23830625801111
203.2357010936221,-0.02391061313121296,-14.38434327421099,-43.23959377887425
205.1162178825565,-0.02476258443479649,-14.42361871436851,-43.25594609699365
207.0141348791041,-0.02434831426647421,-14.46745631891909,-43.25551271333327
208.9296130854039,-0.02374837584246707,-14.50544420675577,-43.26644124233952
210.8628149933289,-0.02466906991548929,-14.54743286426574,-43.26895052578326
212.8139045982711,-0.02339618044925296,-14.59418936617351,-43.29152090286649
214.7830474130533,-0.02562302340461142,-14.63358305039186,-43.28306325574005
216.7704104819694,-0.02490080355017959,-14.67192998019139,-43.28378476195873
218.7761623949552,-0.02305488232661197,-14.71261742620149,-43.2861636074445
220.8004733018899,-0.02297739173071697,-14.75550970451972,-43.26053839116315
222.8435149270303,-0.02473237730799413,-14.79597827898591,-43.29322134315865
224.905460583578,-0.02390765365276834,-14.83263731248908,-43.27783484615156
226.9864851883821,-0.02409837352367836,-14.87693325273776,-43.27981345025131
229.0867652767772,-0.02343283386841392,-14.91666234679068,-43.28860907802154
231.2064790175594,-0.0236890289993642,-14.96173909651275,-43.28643228319692
