Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.02454309230272991,-2.734159246527206,-13.2522176749852
100.9252886076684,-0.02362423331536984,-2.753615811525756,-13.31280118041803
101.8591388054117,-0.02348368934637025,-2.766635660326822,-13.34223624120415
102.8016298126473,-0.02337878647031381,-2.777248946281814,-13.40417176597359
103.7528415818013,-0.02333002003095568,-2.792222338705975,-13.44525121624923
104.71285480509,-0.02324685993193563,-2.803893650027198,-13.4920979109655
105.6817509213658,-0.02287691654844123,-2.816312004613249,-13.53603187568018
106.6596121230258,-0.0236460285565422,-2.828043305743551,-13.57631350880082
107.6465213629835,-0.02294115929804317,-2.841840398221738,-13.62252752023477
108.6425623617066,-0.02401221845483334,-2.851194668816768,-13.66338289447984
109.6478196143185,-0.02300542949347716,-2.865384781640834,-13.70525712958509
110.6623783977666,-0.02347938988514492,-2.875089127480806,-13.74803134712914
111.6863247780561,-0.02309823666477314,-2.8879188653053,-13.78502401887968
112.719745617551,-0.02371862557280783,-2.899469702205083,-13.83293984992088
113.7627285823431,-0.02360179309758938,-2.911747204117638,-13.87209160229739
114.8153621496883,-0.02285525020415727,-2.923195612563145,-13.92097614439587
115.8777356155126,-0.02281364708178141,-2.936648298973251,-13.95875195960332
116.9499391019871,-0.02304830534025854,-2.947557868214558,-13.99765170319716
118.032063565173,-0.02351017153691409,-2.95987508708254,-14.03600822598219
119.1242008027375,-0.02539727926128301,-2.972126358584828,-14.08265510577418
120.2264434617413,-0.02400278817024414,-2.984955972269006,-14.1248342803316
121.3388850464977,-0.02244063052475084,-2.998454596190718,-14.16533233411178
122.4616199265049,-0.02284477121951371,-3.009621581321148,-14.20982230842615
123.5947433444511,-0.02320181985585741,-3.022053797586027,-14.2504872953748
124.7383514242943,-0.02329107226860173,-3.034333121138515,-14.29768385913357
125.8925411794167,-0.02393135543436855,-3.046222171570435,-14.33516697692848
127.0574105208542,-0.02243644615198652,-3.06225802656771,-14.37906096851731
128.2330582656022,-0.02233875594642123,-3.071306214388399,-14.42187152996638
129.4195841449986,-0.02516191419488134,-3.07996501124332,-14.4686700547329
130.6170888131842,-0.02400208853720393,-3.097164217029686,-14.50407658128438
131.8256738556407,-0.02284916612133394,-3.108960905174256,-14.54709873455881
133.0454417978092,-0.02319909385363692,-3.121298841920224,-14.58507743641781
134.2764961137864,-0.02305268251546661,-3.13725954947077,-14.62564397042411
135.5189412351036,-0.02474185631624078,-3.14595227768446,-14.67093249508462
136.7728825595849,-0.0227484064403238,-3.160547242505624,-14.71613018046284
138.0384264602885,-0.0224935787816376,-3.174058937416042,-14.75787129875123
139.3156802945304,-0.0240056457869731,-3.185516424284457,-14.80454288382316
140.6047524129914,-0.02365168319725993,-3.197852303243951,-14.84010088871721
141.9057521689093,-0.02439367323301733,-3.21308430188274,-14.88771514728305
143.2187899273544,-0.02377854446945224,-3.227142382254964,-14.92918773943153
144.5439770745928,-0.02318288232637445,-3.23921078995177,-14.97060021345552
145.8814260275349,-0.02372470746762037,-3.253032968259392,-15.01374693314433
147.2312502432719,-0.02230759449104833,-3.266583110740116,-15.06877861406745
148.5935642287007,-0.02424592298846588,-3.278004932912286,-15.08809597985723
149.9684835502374,-0.0249426418667603,-3.292265706615783,-15.13725846097384
151.3561248436209,-0.02335886191033034,-3.306564803073833,-15.16887659995874
152.7566058238073,-0.02343349503696922,-3.320592535446946,-15.21306666836574
154.170045294956,-0.02426160792481937,-3.330927900552255,-15.25868022154219
155.5965631605075,-0.0232210786166758,-3.347539102483969,-15.29362319022533
157.0362804333553,-0.02299712586120144,-3.361225091785776,-15.34982602514685
158.4893192461114,-0.02309864047491088,-3.374229433401906,-15.38508481605849
159.955802861467,-0.02398730119445466,-3.386761731201904,-15.42065055300814
161.4358556826487,-0.02421534232756886,-3.399700167356151,-15.45659942838753
162.9296032639723,-0.02346534412886792,-3.415529662340291,-15.50716759873154
164.4371723214932,-0.02357896449127124,-3.429465710454117,-15.55729211960577
165.9586907437562,-0.02305914795665682,-3.441826296134805,-15.59375968636179
167.4942876026438,-0.02276306625376105,-3.456474380686259,-15.6328481608455
169.0440931643265,-0.02441722691035068,-3.470566917657425,-15.6557760113494
170.6082389003124,-0.02387264242229491,-3.483317562239395,-15.71443776984113
172.1868574986006,-0.02416542786903995,-3.497652217693028,-15.76010687432964
173.7800828749376,-0.02359440662250512,-3.512025190811418,-15.79411909575104
175.388050184176,-0.02477535064343894,-3.525572798291179,-15.84651209496849
177.0108958317422,-0.02429119870437567,-3.541679109941191,-15.88045660723705
178.648757485205,-0.02459259301241036,-3.556977307085711,-15.93068632015347
180.301774085957,-0.02357673623679573,-3.568771539080214,-15.97004252903338
181.9700858609983,-0.02485910593777507,-3.582663509317525,-16.01662291922651
183.6538343348347,-0.02506983435103674,-3.59790771032177,-16.06161242882439
185.353162341481,-0.02454351189264653,-3.612589274625817,-16.10134937314939
187.0682140365801,-0.023856271014705,-3.627418972291166,-16.15547287480954
188.7991349096293,-0.02426134912194662,-3.641705085249423,-16.18523950956335
190.5460717963248,-0.02406658963590278,-3.654567694361636,-16.21935184931229
192.3091728910157,-0.02389443633349201,-3.67057033227644,-16.25844939133968
194.0885877592777,-0.02371828093434678,-3.685593772667864,-16.29702647228979
195.8844673505989,-0.02275326295757648,-3.699292838425745,-16.33796248254242
197.696964011186,-0.02379486516198162,-3.715485519490272,-16.38285909395262
199.5262314968879,-0.02408410924770083,-3.729471084924272,-16.4285825756599
201.3724249862388,-0.02325759786179247,-3.743163239385574,-16.4729653905236
203.2357010936221,-0.0229459815077771,-3.758566871916816,-16.50581931408875
205.1162178825565,-0.02392694286961372,-3.772584135837776,-16.55016271558141
207.0141348791041,-0.02302378752393068,-3.788544285848519,-16.59751833758126
208.9296130854039,-0.02300976019625077,-3.803693061491535,-16.62417276926779
210.8628149933289,-0.02323772011015784,-3.818249747319982,-16.671961222101
212.8139045982711,-0.02358461174760897,-3.833206661440595,-16.69827168599514
214.7830474130533,-0.02325872135277796,-3.846392127173735,-16.74420021783111
216.7704104819694,-0.02324058816188472,-3.863176992048594,-16.80037271331632
218.7761623949552,-0.02314937829385222,-3.877910962244924,-16.83808809954076
220.8004733018899,-0.02200015724771958,-3.894290098704702,-16.8837541837306
222.8435149270303,-0.02361419951360234,-3.909477255399975,-16.92388865330952
224.905460583578,-0.02401523599187773,-3.922140895298601,-16.95548509034245
226.9864851883821,-0.02363176999266306,-3.937706642438441,-17.00249716028991
229.0867652767772,-0.02164141314965899,-3.954062000278667,-17.05556415166589
231.2064790175594,-0.0232818316539791,-3.969683078030359,-17.07886627153625
233.3458062281002,-0.02262848598567379,-3.990627315989383,-17.19211309452047
235.5049283896009,-0.0228329000581339,-4.005742425913796,-17.23087340258281
237.6840286624876,-0.0227298598671065,-4.021158940677691,-17.25914450951416
239.883291901949,-0.02261531559384763,-4.036035663611061,-17.30636261544269
242.1029046736178,-0.0237024822780993,-4.051882013102523,-17.35985536534955
244.3430552693971,-0.02396718807368833,-4.069468434915357,-17.40260731565675
246.6039337234339,-0.02409004198557474,-4.082752984742402,-17.44224242359047
248.885731828239,-0.02391986175391022,-4.0984581306197,-17.47447636769272
251.1886431509579,-0.02335351387309076,-4.1147490602347,-17.50711636287843
253.5128630497907,-0.02274501681999096,-4.130923842571566,-17.56071369835158
255.8585886905645,-0.024510739338532,-4.145905431670896,-17.60327490670414
258.2260190634596,-0.02261270288799806,-4.15924199983459,-17.64403819821069
260.6153549998895,-0.02440877165397792,-4.177855477856837,-17.69144973427255
