Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.02395610063369491,-1.495438751527962,-8.319624928626126
100.9252886076684,-0.02330138137564055,-1.502150675597083,-8.360465265683558
101.8591388054117,-0.0239262122520483,-1.50802377162512,-8.3950793435734
102.8016298126473,-0.02341997785408012,-1.513824344173155,-8.444266362323109
103.7528415818013,-0.02448296072523847,-1.520964348866146,-8.479876387758424
104.71285480509,-0.02348295320284852,-1.528391644400408,-8.53884061786518
105.6817509213658,-0.02348376634645161,-1.533124210464385,-8.576002021056143
106.6596121230258,-0.02318803859247491,-1.540889747715618,-8.62924283455958
107.6465213629835,-0.02339651455267197,-1.547447153143298,-8.652731222581769
108.6425623617066,-0.02334391280367545,-1.552692025023354,-8.702429336536255
109.6478196143185,-0.02337912771818311,-1.561087337261633,-8.748945987351291
110.6623783977666,-0.02468303036280561,-1.565287262062296,-8.803254312811646
111.6863247780561,-0.02381236050489975,-1.573709149758077,-8.842731799848721
112.719745617551,-0.02298375925370985,-1.57970503498082,-8.883933312330896
113.7627285823431,-0.02359776533108994,-1.587732613819605,-8.934482898972874
114.8153621496883,-0.02302309879101373,-1.594517411618821,-8.973059326993507
115.8777356155126,-0.02400617102713599,-1.601109702033015,-9.027817807880378
116.9499391019871,-0.02328333752192067,-1.608719261114025,-9.064765594535515
118.032063565173,-0.02524644067525029,-1.614685768247226,-9.112717252870681
119.1242008027375,-0.02341312399595477,-1.622777334749103,-9.153860283858478
120.2264434617413,-0.02395281071459569,-1.629106184441932,-9.202491875688011
121.3388850464977,-0.02457336942360249,-1.635487463071916,-9.249682133539324
122.4616199265049,-0.02425611530746982,-1.644968846567297,-9.302984418356345
123.5947433444511,-0.0235626314135573,-1.652727677204303,-9.339667337369029
124.7383514242943,-0.02382770360355335,-1.658837315249489,-9.384823866101542
125.8925411794167,-0.02427458114966898,-1.672890463304515,-9.451370639473168
127.0574105208542,-0.02400510633136749,-1.677909803283874,-9.484999475814874
128.2330582656022,-0.02349097149018271,-1.685681986947883,-9.535100560988809
129.4195841449986,-0.02390865156021302,-1.692986259431908,-9.57599162995966
130.6170888131842,-0.02508273085804261,-1.699774986230882,-9.629394932248218
131.8256738556407,-0.0232527388881747,-1.707144304559378,-9.678427350798884
133.0454417978092,-0.02379449976929481,-1.714333548866295,-9.722176826090791
134.2764961137864,-0.02388702496979796,-1.722686408861374,-9.765982489090234
135.5189412351036,-0.02353454318749986,-1.729782289834249,-9.809804792762861
136.7728825595849,-0.0243789807139675,-1.736461761169729,-9.858614074358968
138.0384264602885,-0.0234421201806328,-1.746238860165245,-9.921332695615575
139.3156802945304,-0.02377194896089288,-1.7545330007715,-9.959937241395242
140.6047524129914,-0.02495894268212595,-1.761597134842252,-10.01461609893266
141.9057521689093,-0.02437885796396676,-1.768099389916803,-10.06529752293677
143.2187899273544,-0.02447411046837491,-1.776888852140408,-10.10250643438481
