Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
154.170045294956,-0.02349908746234353,-1.011772994683477,-4.48851210247593
155.5965631605075,-0.02390894263457054,-1.014395546120318,-4.511567791301326
157.0362804333553,-0.02319102610707651,-1.017869475467877,-4.525617292341444
158.4893192461114,-0.02492294028910248,-1.020941783267532,-4.543406979468685
159.955802861467,-0.02394165315825447,-1.023843697538856,-4.566857932728034
161.4358556826487,-0.02485267741023313,-1.028363268713966,-4.586051923332562
162.9296032639723,-0.02363418072217497,-1.03076342207643,-4.591102435161659
164.4371723214932,-0.02392288438791696,-1.036200838544787,-4.610801757421953
165.9586907437562,-0.02356518458948678,-1.038388632449476,-4.615978268619509
167.4942876026438,-0.02416005146494819,-1.042336676895498,-4.649714521903759
169.0440931643265,-0.02278864961733964,-1.048555904981023,-4.663379933663289
170.6082389003124,-0.02401871207442037,-1.047470330696927,-4.683082949272261
172.1868574986006,-0.02421104448755779,-1.052526275547859,-4.712812635429074
173.7800828749376,-0.02567740115886955,-1.055197177260065,-4.724685942825687
175.388050184176,-0.02482746353808046,-1.058262581885406,-4.736748451310855
177.0108958317422,-0.02329638991971245,-1.063131407490733,-4.768117304986745
178.648757485205,-0.02613057605999322,-1.065503197177741,-4.774679468559569
180.301774085957,-0.02558587651645794,-1.068661057669417,-4.798643307981187
181.9700858609983,-0.02455900095430356,-1.07334874591092,-4.809034724736073
183.6538343348347,-0.02426501125572544,-1.076877707075019,-4.833275046954398
185.353162341481,-0.02376277876282193,-1.081965643260965,-4.854278258356814
187.0682140365801,-0.02487516595171777,-1.084901074078614,-4.874419767487069
188.7991349096293,-0.02414394156297857,-1.089106602319994,-4.892011084934325
190.5460717963248,-0.02385732770112125,-1.092936030412483,-4.91048708109183
192.3091728910157,-0.02388661320505596,-1.097215922586403,-4.929650810176767
194.0885877592777,-0.02393217068604551,-1.101089436505874,-4.946294836377113
195.8844673505989,-0.02370093524699843,-1.106315308787643,-4.966759541608965
197.696964011186,-0.02637383168687613,-1.109219892451099,-4.992122039593994
199.5262314968879,-0.02412099946955012,-1.114280458032569,-5.009026209998723
201.3724249862388,-0.0239380247366089,-1.118101448161304,-5.028347040371017
203.2357010936221,-0.02409279665420105,-1.121406903767817,-5.048585815893574
205.1162178825565,-0.02426732943995753,-1.123352969405098,-5.071467357316948
207.0141348791041,-0.02507049744453599,-1.127702232362564,-5.092786707010958
208.9296130854039,-0.02363094112114574,-1.133064235150406,-5.111119947778946
210.8628149933289,-0.02334783038320109,-1.136143666939547,-5.138999599761377
212.8139045982711,-0.024663650195866,-1.140528119381404,-5.157899387696716
214.7830474130533,-0.0251884004700842,-1.143770669343258,-5.168197453335253
216.7704104819694,-0.02390021639103518,-1.149603370093258,-5.201950784920939
218.7761623949552,-0.02465877134875956,-1.15175916708891,-5.22089978973284
220.8004733018899,-0.0236023156768284,-1.157288143862025,-5.236637196159457
222.8435149270303,-0.02582113312008353,-1.16069814925353,-5.264327932529746
224.905460583578,-0.02406539484812207,-1.164659552247032,-5.28017025988591
226.9864851883821,-0.02520334035752626,-1.168208890388249,-5.299300391467398
