time	V(vout)
Step Information: X=1  (Run: 1/5)
2.000113241484039e-03	-2.501585e-01
2.000128374608660e-03	-2.408195e-01
2.000158640857900e-03	-2.196466e-01
2.000186134629205e-03	-1.988800e-01
2.000227215594064e-03	-1.673524e-01
2.000279804061183e-03	-1.293880e-01
2.000384980995425e-03	-6.283043e-02
2.000540111819018e-03	1.836608e-02
2.000697169679915e-03	8.247551e-02
2.000882102255675e-03	1.383193e-01
2.001110549308745e-03	1.871247e-01
2.001387670793418e-03	2.262640e-01
2.001716338066846e-03	2.544934e-01
2.002108554143615e-03	2.730702e-01
2.002583892914935e-03	2.840815e-01
2.003178332270240e-03	2.898129e-01
2.003951069296881e-03	2.922672e-01
2.005020428484720e-03	2.930204e-01
2.006640980891837e-03	2.930859e-01
2.250099999999998e-03	2.791628e-01
2.250109999999996e-03	2.790310e-01
2.250129999999996e-03	2.780997e-01
2.250159999999998e-03	2.736619e-01
2.250199999999997e-03	2.630728e-01
2.250203999999999e-03	2.611352e-01
2.250211999999998e-03	2.569225e-01
2.250227999999996e-03	2.472342e-01
2.250254827532282e-03	2.286889e-01
2.250283902490199e-03	2.068213e-01
2.250321291514104e-03	1.781297e-01
2.250375028131291e-03	1.391622e-01
2.250482501365662e-03	7.073242e-02
2.250637577956460e-03	-1.084859e-02
2.250794999580766e-03	-7.551003e-02
2.250972065098718e-03	-1.295184e-01
2.251198462382763e-03	-1.786729e-01
2.251467652331994e-03	-2.176761e-01
2.251793781211577e-03	-2.466456e-01
2.252175341427826e-03	-2.655667e-01
2.252644172228705e-03	-2.770761e-01
2.253220057192851e-03	-2.830906e-01
2.253974819656064e-03	-2.857556e-01
2.254999015689006e-03	-2.866079e-01
2.256550487464478e-03	-2.867115e-01
2.264528089498764e-03	-2.862652e-01
2.499999999999999e-03	-2.730963e-01
2.500010000000000e-03	-2.729645e-01
2.500030000000000e-03	-2.720331e-01
2.500059999999998e-03	-2.675953e-01
2.500099999999998e-03	-2.570061e-01
2.500104000000000e-03	-2.550684e-01
2.500111999999999e-03	-2.508557e-01
2.500127999999997e-03	-2.411684e-01
2.500154758185144e-03	-2.226739e-01
2.500183793498145e-03	-2.008380e-01
2.500221069288908e-03	-1.722307e-01
2.500274672105077e-03	-1.333436e-01
2.500381877737417e-03	-6.503927e-02
2.500537114069650e-03	1.669166e-02
2.500694512218196e-03	8.128515e-02
2.500877245700167e-03	1.368038e-01
2.501105526237966e-03	1.859406e-01
2.501380520493465e-03	2.251622e-01
2.501708964474304e-03	2.536993e-01
2.502098373679987e-03	2.724122e-01
2.502572610319376e-03	2.835868e-01
2.503162328179907e-03	2.894013e-01
2.503931448744182e-03	2.919133e-01
2.504989634731020e-03	2.926914e-01
2.506595063465462e-03	2.927654e-01
2.750099999999998e-03	2.788559e-01
2.750109458583484e-03	2.787465e-01
2.750128375750460e-03	2.778468e-01
2.750162165666047e-03	2.728492e-01
2.750199999999998e-03	2.628113e-01
2.750203783433394e-03	2.609872e-01
2.750211350300184e-03	2.570340e-01
2.750226484033762e-03	2.479457e-01
2.750253617980869e-03	2.293071e-01
2.750282155430051e-03	2.079119e-01
2.750319428486199e-03	1.792740e-01
2.750370829763562e-03	1.417915e-01
2.750473632318284e-03	7.570555e-02
2.750628316412207e-03	-6.748463e-03
2.750785422085688e-03	-7.238322e-02
2.750959316772893e-03	-1.264542e-01
2.751183702825750e-03	-1.762829e-01
2.751449333567770e-03	-2.158360e-01
2.751773060892661e-03	-2.455329e-01
2.752149750145073e-03	-2.649471e-01
2.752613939168952e-03	-2.768773e-01
2.753180908387193e-03	-2.831464e-01
2.753924479998077e-03	-2.859688e-01
2.754926245830926e-03	-2.868924e-01
2.756438443561431e-03	-2.870211e-01
2.758995231353860e-03	-2.868899e-01
2.999999999999999e-03	-2.733883e-01
3.000010000000001e-03	-2.732565e-01
3.000030000000001e-03	-2.723250e-01
3.000059999999999e-03	-2.678872e-01
3.000099999999999e-03	-2.572981e-01
3.000104000000000e-03	-2.553604e-01
3.000111999999999e-03	-2.511477e-01
3.000127999999998e-03	-2.414604e-01
3.000154761526368e-03	-2.229634e-01
3.000183798749789e-03	-2.011259e-01
