time	V(vout)	V(n002)
Step Information: X=1  (Run: 1/5)
0.000000000000000e+00	-2.711062e-01	2.872657e-01
5.625000056019847e-09	-2.710881e-01	2.780395e-01
1.687500017152899e-08	-2.708996e-01	2.469173e-01
3.937500040254727e-08	-2.698173e-01	1.549798e-01
5.499999954083901e-08	-2.681710e-01	7.675316e-02
6.875000172282264e-08	-2.658348e-01	1.193443e-03
7.249999563543885e-08	-2.649714e-01	-2.002957e-02
8.500002434894127e-08	-2.612973e-01	-9.203726e-02
1.000370476143819e-07	-2.554232e-01	-1.799441e-01
1.024080949728334e-07	-2.543296e-01	-1.932671e-01
1.048167780036413e-07	-2.531640e-01	-2.054384e-01
1.096341440652571e-07	-2.506733e-01	-2.260015e-01
1.192688761884886e-07	-2.451255e-01	-2.552920e-01
1.385383404349516e-07	-2.324815e-01	-2.871656e-01
1.701214072599710e-07	-2.094660e-01	-3.074032e-01
2.005024539696032e-07	-1.861903e-01	-3.121540e-01
2.469815575840972e-07	-1.511253e-01	-3.127742e-01
3.173375766815645e-07	-1.028699e-01	-3.128240e-01
4.580496148764990e-07	-2.071635e-02	-3.127905e-01
6.118897191639827e-07	5.173821e-02	-3.127637e-01
7.710585914685875e-07	1.086397e-01	-3.127395e-01
9.809338425981196e-07	1.632821e-01	-3.127132e-01
1.226786667647695e-06	2.073850e-01	-3.126869e-01
1.532933483119198e-06	2.422801e-01	-3.126592e-01
1.883073659864065e-06	2.655673e-01	-3.126315e-01
2.316936139116349e-06	2.806253e-01	-3.126007e-01
2.835021018096628e-06	2.888726e-01	-3.125662e-01
3.510514639988582e-06	2.929145e-01	-3.125230e-01
4.390937477952855e-06	2.944163e-01	-3.124676e-01
5.682918225176359e-06	2.947610e-01	-3.123868e-01
7.722170378546278e-06	2.946957e-01	-3.122594e-01
2.500999999999996e-04	2.807490e-01	-2.974833e-01
2.501100000000013e-04	2.806172e-01	-2.734192e-01
2.501300000000012e-04	2.796858e-01	-2.019656e-01
2.501599999999993e-04	2.752481e-01	-5.545628e-02
2.501999999999990e-04	2.646591e-01	1.684924e-01
2.502040000000004e-04	2.627214e-01	1.884249e-01
2.502119999999997e-04	2.585087e-01	2.207013e-01
2.502279999999982e-04	2.488202e-01	2.605746e-01
2.502548456382418e-04	2.302617e-01	2.906194e-01
2.502839309453282e-04	2.083858e-01	3.004270e-01
2.503213495395375e-04	1.796722e-01	3.023523e-01
2.503751211029998e-04	1.406836e-01	3.026073e-01
2.504826642299209e-04	7.222123e-02	3.025890e-01
2.506377019912652e-04	-9.322003e-03	3.025594e-01
2.507951295728714e-04	-7.400167e-02	3.025343e-01
2.509706850999001e-04	-1.276058e-01	3.025104e-01
2.511965775611365e-04	-1.767640e-01	3.024847e-01
2.514642282752701e-04	-2.157071e-01	3.024589e-01
2.517897456428761e-04	-2.447930e-01	3.024321e-01
2.521692356295853e-04	-2.637690e-01	3.024045e-01
2.526366458498706e-04	-2.753688e-01	3.023733e-01
2.532089066015590e-04	-2.814370e-01	3.023372e-01
2.539599217188833e-04	-2.841439e-01	3.022912e-01
2.549753081404690e-04	-2.850166e-01	3.022295e-01
2.565128867158643e-04	-2.851284e-01	3.021366e-01
2.643719412636740e-04	-2.846925e-01	3.016622e-01
5.000000000000004e-04	-2.715875e-01	2.877755e-01
5.000099999999986e-04	-2.714557e-01	2.637106e-01
5.000299999999985e-04	-2.705243e-01	1.922559e-01
5.000600000000001e-04	-2.660864e-01	4.574753e-02
5.000999999999999e-04	-2.554972e-01	-1.781965e-01
5.001040000000012e-04	-2.535595e-01	-1.981287e-01
