time	V(vout)
Step Information: X=1  (Run: 1/5)
1.000000000000000e-07	-9.893598e-02
2.934106103497319e-06	-8.353473e-02
5.934106103497318e-06	-6.849746e-02
8.934106103497319e-06	-5.469747e-02
1.193410610349732e-05	-4.203296e-02
1.393410610349732e-05	-3.417432e-02
1.593410610349732e-05	-2.675290e-02
1.793410610349732e-05	-1.974436e-02
1.993410610349733e-05	-1.312576e-02
2.093410610349733e-05	-9.955846e-03
2.193410610349733e-05	-6.875377e-03
2.293410610349733e-05	-3.881826e-03
2.393410610349733e-05	-9.727401e-04
2.493410610349733e-05	1.854264e-03
2.593410610349733e-05	4.601502e-03
2.693410610349733e-05	7.271225e-03
2.793410610349733e-05	9.865619e-03
2.993410610349733e-05	1.483686e-02
3.193410610349733e-05	1.953153e-02
3.393410610349732e-05	2.396501e-02
3.693410610349732e-05	3.015707e-02
3.993410610349731e-05	3.583963e-02
4.393410610349730e-05	4.269579e-02
4.793410610349728e-05	4.881029e-02
5.293410610349727e-05	5.553182e-02
5.793410610349726e-05	6.135711e-02
6.293410610349725e-05	6.640566e-02
6.793410610349724e-05	7.078105e-02
7.293410610349722e-05	7.457303e-02
7.793410610349721e-05	7.785938e-02
8.293410610349719e-05	8.070754e-02
8.793410610349718e-05	8.317593e-02
9.293410610349717e-05	8.531518e-02
9.793410610349715e-05	8.716919e-02
9.993410610349715e-05	8.784180e-02
1.000000000000000e-04	8.786339e-02
Step Information: X=5  (Run: 5/5)
0.000000000000000e+00	-1.799002e-02
1.000000000000000e-07	-1.794784e-02
3.934106103497318e-06	-1.486027e-02
6.934106103497318e-06	-1.262724e-02
9.934106103497319e-06	-1.054600e-02
1.293410610349732e-05	-8.606240e-03
1.593410610349732e-05	-6.798335e-03
1.893410610349732e-05	-5.113324e-03
2.093410610349733e-05	-4.054108e-03
2.293410610349733e-05	-3.043455e-03
2.493410610349733e-05	-2.079136e-03
2.593410610349733e-05	-1.613685e-03
2.693410610349733e-05	-1.159029e-03
2.793410610349733e-05	-7.149169e-04
2.893410610349733e-05	-2.811052e-04
2.993410610349733e-05	1.426454e-04
3.093410610349733e-05	5.565683e-04
3.193410610349733e-05	9.608913e-04
3.293410610349733e-05	1.355837e-03
3.493410610349732e-05	2.118462e-03
3.693410610349732e-05	2.846122e-03
3.993410610349731e-05	3.875543e-03
4.293410610349730e-05	4.834987e-03
4.693410610349729e-05	6.013569e-03
5.093410610349728e-05	7.086561e-03
5.593410610349726e-05	8.293642e-03
6.193410610349725e-05	9.567077e-03
6.793410610349724e-05	1.067327e-02
7.393410610349722e-05	1.163419e-02
7.993410610349720e-05	1.246891e-02
8.593410610349718e-05	1.319400e-02
9.193410610349717e-05	1.382386e-02
9.793410610349715e-05	1.437101e-02
9.993410610349715e-05	1.453737e-02
1.000000000000000e-04	1.454274e-02
